         4375343 function calls (4297319 primitive calls) in 6.696 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1079(_stop)
      585    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:497(set_running_or_notify_cancel)
      100    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:328(__init__)
      195    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
      127    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
       10    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:126(__init__)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:428(result)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\weakref.py:427(__setitem__)
       10    0.000    0.000    6.544    0.654 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:219(shutdown)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py:85(add)
      255    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1234(daemon)
      767    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
      170    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1483(current_thread)
      341    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      271    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:314(_is_owned)
      555    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      300    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      170    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
      127    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:332(randint)
        1    0.000    0.000    0.000    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\module.py:82(verify_solution)
        1    0.000    0.000    0.000    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\module.py:10(generate_random_symetrical_boolean_graph)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:588(__init__)
      286    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      170    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:311(_acquire_restore)
       10    0.000    0.000    6.544    0.654 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:646(__exit__)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1354(_make_invoke_excepthook)
        2    0.000    0.000    0.000    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\module.py:31(generate_random_symetrical_weighted_graph)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1036(_set_ident)
      170    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:308(_release_save)
        2    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      381    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\weakref.py:369(remove)
      170    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
      170    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
      170    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\utilities.py:9(connexity)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py:39(_remove)
        2    0.000    0.000    0.000    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:337(_invoke_callbacks)
     11/1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:789(recurser)
      100    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1040(_set_native_id)
      170    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:601(is_set)
      204    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:515(release)
        3    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:485(triu)
      127    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:457(__init__)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:47(__init__)
