         2833580 function calls (2833480 primitive calls) in 301.086 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:561(array2string)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      100    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:366(tri)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:1223(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:452(_get_format_function)
        6    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:33(_min_int)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:523(_array2string)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:1877(_nonzero_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2979(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:780(_formatArray)
        6    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\getlimits.py:696(min)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:64(_make_options_dict)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:1595(_array_str_implementation)
        6    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\getlimits.py:709(max)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:403(_get_formatdict)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:410(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2692(max)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\module.py:59(generate_random_collect_points)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2836(min)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        3    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\multiarray.py:346(where)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
        3    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:426(_trilu_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2974(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2416(_all_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2687(_max_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2831(_min_dispatcher)


